District,City,Area,Address,PG_Name,Gender,Food,Sharing,AC,Distance_km,Latitude,Longitude,Budget
East Godavari,Rajahmundry,Danavaipeta,"Chinna Anjaneya Swamy Temple Road beside Max Vision Eye Hospital, Danavaipeta",Sri RK Hostel,Male,Yes,3 Sharing,No,3.3,17.01551,81.33442281,4900
East Godavari,Rajahmundry,Danavaipeta,"Chinna Anjaneya Swamy Temple Road beside Max Vision Eye Hospital, Danavaipeta",Sri RK Hostel,Male,No,Single,No,3.3,17.01551,81.33442281,6500
East Godavari,Rajahmundry,Danavaipeta,"Chinna Anjaneya Swamy Temple Road beside Max Vision Eye Hospital, Danavaipeta",Sri RK Hostel,Male,Yes,Single,Yes,3.3,17.01551,81.33442281,12000
East Godavari,Rajahmundry,Prakashnagar,"1st Floor, Sai Saden Apartment, Krishna Kalyani Road near Women's Club, Prakash Nagar, Rajahmundry",Mary's Hostel,Female,Yes,4 Sharing,Yes,2.5,17.01551,81.33442281,4500
East Godavari,Rajahmundry,Prakashnagar,"1st Floor, Sai Saden Apartment, Krishna Kalyani Road near Women's Club, Prakash Nagar, Rajahmundry",Mary's Hostel,Female,No,2 Sharing,Yes,2.5,17.01551,81.33442281,6500
East Godavari,Rajahmundry,Prakashnagar,"1st Floor, Sai Saden Apartment, Krishna Kalyani Road near Women's Club, Prakash Nagar, Rajahmundry",Mary's Hostel,Female,Yes,3 Sharing,No,2.5,17.01551,81.33442281,7000
East Godavari,Rajahmundry,Prakashnagar,"1st Floor, Sai Saden Apartment, Krishna Kalyani Road near Women's Club, Prakash Nagar, Rajahmundry",Mary's Hostel,Female,Yes,2 Sharing,No,2.5,17.01551,81.33442281,7500
East Godavari,Rajahmundry,Prakashnagar,"1st Floor, Sai Saden Apartment, Krishna Kalyani Road near Women's Club, Prakash Nagar, Rajahmundry",Mary's Hostel,Female,Yes,Single,No,2.5,17.01551,81.33442281,8000
East Godavari,Rajahmundry,Prakashnagar,Primarily located in Prakash Nagar (near Meenakshi Hospital/Nagadevi Theater).,Sri Vijaya Ladies Hostel,Female,No,2 Sharing,Yes,2.5,17.01551,81.33442281,7500
East Godavari,Rajahmundry,Prakashnagar,Primarily located in Prakash Nagar (near Meenakshi Hospital/Nagadevi Theater).,Sri Vijaya Ladies Hostel,Female,Yes,4 Sharing,No,2.5,17.01551,81.33442281,5500
East Godavari,Rajahmundry,Prakashnagar,Primarily located in Prakash Nagar (near Meenakshi Hospital/Nagadevi Theater).,Sri Vijaya Ladies Hostel,Female,Yes,3 Sharing,No,2.5,17.01551,81.33442281,6000
East Godavari,Rajahmundry,Prakashnagar,Primarily located in Prakash Nagar (near Meenakshi Hospital/Nagadevi Theater).,Sri Vijaya Ladies Hostel,Female,No,3 Sharing,No,2.5,17.01551,81.33442281,5500
East Godavari,Rajahmundry,Prakashnagar,Primarily located in Prakash Nagar (near Meenakshi Hospital/Nagadevi Theater).,Sri Vijaya Ladies Hostel,Female,Yes,2 Sharing,No,2.5,17.01551,81.33442281,7500
East Godavari,Rajahmundry,Prakashnagar,Primarily located in Prakash Nagar (near Meenakshi Hospital/Nagadevi Theater).,Sri Vijaya Ladies Hostel,Female,No,Single,No,2.5,17.01551,81.33442281,6000
East Godavari,Rajahmundry,Prakashnagar,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Haripriya Boys Hostel,Male,Yes,Single,No,2.5,17.01551,81.33442281,7000
East Godavari,Rajahmundry,Prakashnagar,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Haripriya Boys Hostel,Male,No,3 Sharing,No,2.5,17.01551,81.33442281,6500
East Godavari,Rajahmundry,Prakashnagar,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Haripriya Boys Hostel,Male,Yes,3 Sharing,No,2.5,17.01551,81.33442281,5000
East Godavari,Rajahmundry,Prakashnagar,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Haripriya Boys Hostel,Male,Yes,2 Sharing,Yes,2.5,17.01551,81.33442281,6500
East Godavari,Rajahmundry,Prakashnagar,"Door No:74-1-8, Opposite Womens College hostel Gate beside TTD Kalayamadapam Road, Prakash Nagar, Rajahmundry-533103.",Manasa Boys Hostel,Male,Yes,4 Sharing,No,2.5,17.01551,81.33442281,5500
East Godavari,Rajahmundry,Prakashnagar,"Door No:74-1-8, Opposite Womens College hostel Gate beside TTD Kalayamadapam Road, Prakash Nagar, Rajahmundry-533103.",Manasa Boys Hostel,Male,Yes,2 Sharing,No,2.5,17.01551,81.33442281,7500
East Godavari,Rajahmundry,Prakashnagar,"Door No:74-1-8, Opposite Womens College hostel Gate beside TTD Kalayamadapam Road, Prakash Nagar, Rajahmundry-533103.",Manasa Boys Hostel,Male,Yes,3 Sharing,No,2.5,17.01551,81.33442281,7000
East Godavari,Rajahmundry,Prakashnagar,"Door No:74-1-8, Opposite Womens College hostel Gate beside TTD Kalayamadapam Road, Prakash Nagar, Rajahmundry-533103.",Manasa Boys Hostel,Male,Yes,Single,No,2.5,17.01551,81.33442281,8000
East Godavari,Rajahmundry,Prakashnagar,"Door No:74-1-8, Opposite Womens College hostel Gate beside TTD Kalayamadapam Road, Prakash Nagar, Rajahmundry-533103.",Manasa Boys Hostel,Male,No,4 Sharing,No,2.5,17.01551,81.33442281,4000
East Godavari,Rajahmundry,Prakashnagar,"Door No:74-1-8, Opposite Womens College hostel Gate beside TTD Kalayamadapam Road, Prakash Nagar, Rajahmundry-533103.",Manasa Boys Hostel,Male,No,2 Sharing,No,2.5,17.01551,81.33442281,5000
East Godavari,Rajahmundry,Prakashnagar,"Sri Sai Apartments, 3rd floor flat no P6, KLM Back Side Street Danavaipeta, Rajahmundry-533103",Geetha Women's Hostel,Female,Yes,4 Sharing,Yes,2.5,17.01551,81.33442281,4000
East Godavari,Rajahmundry,Prakashnagar,"Sri Sai Apartments, 3rd floor flat no P6, KLM Back Side Street Danavaipeta, Rajahmundry-533103",Geetha Women's Hostel,Female,Yes,2 Sharing,No,2.5,17.01551,81.33442281,6000
East Godavari,Rajahmundry,Prakashnagar,"Sri Sai Apartments, 3rd floor flat no P6, KLM Back Side Street Danavaipeta, Rajahmundry-533103",Geetha Women's Hostel,Female,Yes,Single,Yes,2.5,17.01551,81.33442281,12000
East Godavari,Rajahmundry,Prakashnagar,"Sri Sai Apartments, 3rd floor flat no P6, KLM Back Side Street Danavaipeta, Rajahmundry-533103",Geetha Women's Hostel,Female,Yes,Single,No,2.5,17.01551,81.33442281,8000
East Godavari,Rajahmundry,Prakashnagar,"Sri Sai Apartments, 3rd floor flat no P6, KLM Back Side Street Danavaipeta, Rajahmundry-533103",Geetha Women's Hostel,Female,Yes,3 Sharing,No,2.5,17.01551,81.33442281,5500
East Godavari,Rajahmundry,Prakashnagar,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Haripriya Girls Hostel,Female,Yes,2 Sharing,No,2.5,17.01551,81.33442281,5000
East Godavari,Rajahmundry,Prakashnagar,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Haripriya Girls Hostel,Female,Yes,3 Sharing,No,2.5,17.01551,81.33442281,6500
East Godavari,Rajahmundry,Prakashnagar,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Haripriya Girls Hostel,Female,Yes,Single,No,2.5,17.01551,81.33442281,8000
East Godavari,Rajahmundry,Prakashnagar,"Door No: 46/7/26/1, Near Green Park Family Restaurent, Prakashnagar, East Godavari-533106.",KV Womens Hostel,Female,Yes,4 Sharing,No,2.5,17.01551,81.33442281,5500
East Godavari,Rajahmundry,Prakashnagar,"Door No: 46/7/26/1, Near Green Park Family Restaurent, Prakashnagar, East Godavari-533106.",KV Womens Hostel,Female,No,3 Sharing,No,2.5,17.01551,81.33442281,4000
East Godavari,Rajahmundry,Prakashnagar,"Door No: 46/7/26/1, Near Green Park Family Restaurent, Prakashnagar, East Godavari-533106.",KV Womens Hostel,Female,Yes,3 Sharing,No,2.5,17.01551,81.33442281,5000
East Godavari,Rajahmundry,Prakashnagar,"Door No: 46/7/26/1, Near Green Park Family Restaurent, Prakashnagar, East Godavari-533106.",KV Womens Hostel,Female,Yes,2 Sharing,No,2.5,17.01551,81.33442281,6500
East Godavari,Rajahmundry,Prakashnagar,"Near Ladies Club, Prakashnagar, Rajahmundry-533103",Satya Annapurna Ladies Hostel,Female,Yes,4 Sharing,No,2.5,17.01551,81.33442281,6500
East Godavari,Rajahmundry,Prakashnagar,"Near Ladies Club, Prakashnagar, Rajahmundry-533103",Satya Annapurna Ladies Hostel,Female,Yes,3 Sharing,No,2.5,17.01551,81.33442281,7000
East Godavari,Rajahmundry,Prakashnagar,"Near Ladies Club, Prakashnagar, Rajahmundry-533103",Satya Annapurna Ladies Hostel,Female,No,4 Sharing,No,2.5,17.01551,81.33442281,5000
East Godavari,Rajahmundry,Prakashnagar,"Near Ladies Club, Prakashnagar, Rajahmundry-533103",Satya Annapurna Ladies Hostel,Female,Yes,2 Sharing,Yes,2.5,17.01551,81.33442281,7000
East Godavari,Rajahmundry,Prakashnagar,"Near TTD Kalyana Mandapam, PrakashNagar, Rajahmundry-533103",Varahi Women's PG,Female,Yes,4 Sharing,No,2.5,17.01551,81.33442281,5500
East Godavari,Rajahmundry,Prakashnagar,"Near TTD Kalyana Mandapam, PrakashNagar, Rajahmundry-533103",Varahi Women's PG,Female,Yes,2 Sharing,No,2.5,17.01551,81.33442281,9500
East Godavari,Rajahmundry,Prakashnagar,"Near TTD Kalyana Mandapam, PrakashNagar, Rajahmundry-533103",Varahi Women's PG,Female,No,4 Sharing,No,2.5,17.01551,81.33442281,4000
East Godavari,Rajahmundry,Prakashnagar,"Near TTD Kalyana Mandapam, PrakashNagar, Rajahmundry-533103",Varahi Women's PG,Female,No,3 Sharing,Yes,2.5,17.01551,81.33442281,8500
East Godavari,Rajahmundry,Prakashnagar,"Near TTD Kalyana Mandapam, PrakashNagar, Rajahmundry-533103",Varahi Women's PG,Female,Yes,3 Sharing,No,2.5,17.01551,81.33442281,9000
East Godavari,Rajahmundry,Prakashnagar,"Near TTD Kalyana Mandapam, PrakashNagar, Rajahmundry-533103",Varahi Women's PG,Female,Yes,Single,Yes,2.5,17.01551,81.33442281,12000
East Godavari,Rajahmundry,Danavaipeta,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Freedom Boys Hostel,Male,No,4 Sharing,No,3.3,17.01551,81.33442281,4000
East Godavari,Rajahmundry,Danavaipeta,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Freedom Boys Hostel,Male,Yes,3 Sharing,No,3.3,17.01551,81.33442281,5000
East Godavari,Rajahmundry,Danavaipeta,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Freedom Boys Hostel,Male,Yes,2 Sharing,No,3.3,17.01551,81.33442281,5000
East Godavari,Rajahmundry,Danavaipeta,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Freedom Boys Hostel,Male,Yes,3 Sharing,Yes,3.3,17.01551,81.33442281,7000
East Godavari,Rajahmundry,Danavaipeta,"3rd floor, Jagan juice building, MG Rd, near Gandhi park, Danavai Peta, Rajamahendravaram, Andhra Pradesh 533103",KalyaniBoys Hostel,Male,Yes,Single,No,3.3,17.01551,81.33442281,7000
East Godavari,Rajahmundry,Danavaipeta,"3rd floor, Jagan juice building, MG Rd, near Gandhi park, Danavai Peta, Rajamahendravaram, Andhra Pradesh 533103",KalyaniBoys Hostel,Male,Yes,4 Sharing,No,3.3,17.01551,81.33442281,5000
East Godavari,Rajahmundry,Danavaipeta,"3rd floor, Jagan juice building, MG Rd, near Gandhi park, Danavai Peta, Rajamahendravaram, Andhra Pradesh 533103",KalyaniBoys Hostel,Male,Yes,2 Sharing,No,3.3,17.01551,81.33442281,6000
East Godavari,Rajahmundry,Danavaipeta,"3rd floor, Jagan juice building, MG Rd, near Gandhi park, Danavai Peta, Rajamahendravaram, Andhra Pradesh 533103",KalyaniBoys Hostel,Male,Yes,3 Sharing,No,3.3,17.01551,81.33442281,5500
East Godavari,Rajahmundry,Devichowk,"Lakshmivarapu Peta, Seshayya Metta, Rajahmundry",Sri Sai Ram Ladies Hostel,Female,Yes,2 Sharing,Yes,4,17.00842138,81.77564449,7000
East Godavari,Rajahmundry,Devichowk,"Lakshmivarapu Peta, Seshayya Metta, Rajahmundry",Sri Sai Ram Ladies Hostel,Female,Yes,Single,No,4,17.00842138,81.77564449,7000
East Godavari,Rajahmundry,Devichowk,"Lakshmivarapu Peta, Seshayya Metta, Rajahmundry",Sri Sai Ram Ladies Hostel,Female,Yes,Single,Yes,4,17.00842138,81.77564449,7500
East Godavari,Rajahmundry,Devichowk,"Lakshmivarapu Peta, Seshayya Metta, Rajahmundry",Sri Sai Ram Ladies Hostel,Female,Yes,4 Sharing,Yes,4,17.00842138,81.77564449,7500
East Godavari,Rajahmundry,Devichowk,"Beside Nagadevi Theater, Seshayya Metta, Rajahmundry 533104",Vijaya Ladies Hostel,Female,Yes,Single,Yes,4,17.00842138,81.77564449,5000
East Godavari,Rajahmundry,Devichowk,"Beside Nagadevi Theater, Seshayya Metta, Rajahmundry 533104",Vijaya Ladies Hostel,Female,Yes,2 sharing,No,4,17.00842138,81.77564449,4500
East Godavari,Rajahmundry,Devichowk,"Beside Nagadevi Theater, Seshayya Metta, Rajahmundry 533104",Vijaya Ladies Hostel,Female,No,3 Sharing,Yes,4,17.00842138,81.77564449,5000
East Godavari,Rajahmundry,Devichowk,"Near Akira Eye Hospital, Aryapuram",NSS Boys Hostel,Male,Yes,4 sharing,No,4,17.00842138,81.77564449,5000
East Godavari,Rajahmundry,Devichowk,"Near Akira Eye Hospital, Aryapuram",NSS Boys Hostel,Male,Yes,2 Sharing,Yes,4,17.00842138,81.77564449,6000
East Godavari,Rajahmundry,Devichowk,"Near Akira Eye Hospital, Aryapuram",NSS Boys Hostel,Male,Yes,3 Sharing,No,4,17.00842138,81.77564449,4500
East Godavari,Rajahmundry,Devichowk,"Alluri Sita Rama Raju Junction Devi chowk, Rajahmundry-533101",Swarna Boys Hostel,Male,Yes,4 Sharing,No,4,17.00842138,81.77564449,6000
East Godavari,Rajahmundry,Devichowk,"Alluri Sita Rama Raju Junction Devi chowk, Rajahmundry-533101",Swarna Boys Hostel,Male,Yes,2 Sharing,No,4,17.00842138,81.77564449,7500
East Godavari,Rajahmundry,Devichowk,"Alluri Sita Rama Raju Junction Devi chowk, Rajahmundry-533101",Swarna Boys Hostel,Male,No,4 Sharing,No,4,17.00842138,81.77564449,4000
East Godavari,Rajahmundry,Devichowk,"Alluri Sita Rama Raju Junction Devi chowk, Rajahmundry-533101",Swarna Boys Hostel,Male,No,3 Sharing,No,4,17.00842138,81.77564449,5500
East Godavari,Rajahmundry,Devichowk,"Alluri Sita Rama Raju Junction Devi chowk, Rajahmundry-533101",Swarna Boys Hostel,Male,Yes,3 Sharing,Yes,4,17.00842138,81.77564449,8000
East Godavari,Rajahmundry,Devichowk,"Alluri Sita Rama Raju Junction Devi chowk, Rajahmundry-533101",Swarna Boys Hostel,Male,No,Single,Yes,4,17.00842138,81.77564449,8000
East Godavari,Rajahmundry,Devichowk,"Alluri Sita Rama Raju Junction Devi chowk, Rajahmundry-533101",Swarna Boys Hostel,Male,Yes,Single,No,4,17.00842138,81.77564449,8500
East Godavari,Rajahmundry,Devichowk,"Plot No: 293329 Lakshmi Varapu Peta Rajahmundry Fish Market Down, Near Alluri sitarama raju junction, Rajahmundry-533104",Anu Ladies Hostel ,Female,Yes ,2 Sharing,No,4,17.00842138,81.77564449,7500
East Godavari,Rajahmundry,Devichowk,"Plot No: 293329 Lakshmi Varapu Peta Rajahmundry Fish Market Down, Near Alluri sitarama raju junction, Rajahmundry-533104",Anu Ladies Hostel ,Female,Yes,4 Sharing,No,4,17.00842138,81.77564449,5000
East Godavari,Rajahmundry,Devichowk,"Plot No: 293329 Lakshmi Varapu Peta Rajahmundry Fish Market Down, Near Alluri sitarama raju junction, Rajahmundry-533104",Anu Ladies Hostel ,Female,No,4 Sharing,No,4,17.00842138,81.77564449,4000
East Godavari,Rajahmundry,Devichowk,"Plot No: 293329 Lakshmi Varapu Peta Rajahmundry Fish Market Down, Near Alluri sitarama raju junction, Rajahmundry-533104",Anu Ladies Hostel ,Female,Yes,3 Sharing,No,4,17.00842138,81.77564449,7000
East Godavari,Rajahmundry,Devichowk,"Plot No: 293329 Lakshmi Varapu Peta Rajahmundry Fish Market Down, Near Alluri sitarama raju junction, Rajahmundry-533104",Anu Ladies Hostel ,Female,Yes,Single,No,4,17.00842138,81.77564449,9000
East Godavari,Rajahmundry,Tilak Road,"Axis Bank Street Tilak Road, Rajahmundry",Madurams Hostel,Male,No,3 Sharing,No,1.6,17.00463473,81.79492028,5000
East Godavari,Rajahmundry,Tilak Road,"Axis Bank Street Tilak Road, Rajahmundry",Madurams Hostel,Male,Yes,3 Sharing,No,1.6,17.00463473,81.79492028,6500
East Godavari,Rajahmundry,Tilak Road,"Axis Bank Street Tilak Road, Rajahmundry",Madurams Hostel,Male,Yes,Single,No,1.6,17.00463473,81.79492028,7500
East Godavari,Rajahmundry,Tilak Road,"Axis Bank Street Tilak Road, Rajahmundry",Madurams Hostel,Male,Yes,4 Sharing,No,1.6,17.00463473,81.79492028,5000
East Godavari,Rajahmundry,Tilak Road,"Axis Bank Street Tilak Road, Rajahmundry",Madurams Hostel,Male,Yes,2 Sharing,No,1.6,17.00463473,81.79492028,8000
East Godavari,Rajahmundry,Tilak Road," Opposite Sai Krishna Theatre, Beside Aluminium Function Hall, Innes Peta, Rajahmundry.",Jyothi Ladies Hostel,Female,Yes,Single,Yes,1.6,17.00463473,81.79492028,8500
East Godavari,Rajahmundry,Tilak Road," Opposite Sai Krishna Theatre, Beside Aluminium Function Hall, Innes Peta, Rajahmundry.",Jyothi Ladies Hostel,Female,Yes,Single,No,1.6,17.00463473,81.79492028,7000
East Godavari,Rajahmundry,Tilak Road," Opposite Sai Krishna Theatre, Beside Aluminium Function Hall, Innes Peta, Rajahmundry.",Jyothi Ladies Hostel,Female,No,2 sharing,No,1.6,17.00463473,81.79492028,4500
East Godavari,Rajahmundry,Tilak Road," Opposite Sai Krishna Theatre, Beside Aluminium Function Hall, Innes Peta, Rajahmundry.",Jyothi Ladies Hostel,Female,Yes,2 sharing,No,1.6,17.00463473,81.79492028,5000
East Godavari,Rajahmundry,Tilak Road," Opposite Sai Krishna Theatre, Beside Aluminium Function Hall, Innes Peta, Rajahmundry.",Jyothi Ladies Hostel,Female,Yes,3 Sharing,No,1.6,17.00463473,81.79492028,5000
East Godavari,Rajahmundry,Tilak Road," Opposite Sai Krishna Theatre, Beside Aluminium Function Hall, Innes Peta, Rajahmundry.",Jyothi Ladies Hostel,Female,Yes,4 Sharing,No,1.6,17.00463473,81.79492028,6000
East Godavari,Rajahmundry,Tilak Road," Opposite Sai Krishna Theatre, Beside Aluminium Function Hall, Innes Peta, Rajahmundry.",Jyothi Ladies Hostel,Female,No,4 Sharing,No,1.6,17.00463473,81.79492028,4500
East Godavari,Rajahmundry,Tilak Road," Opposite Sai Krishna Theatre, Beside Aluminium Function Hall, Innes Peta, Rajahmundry.",Jyothi Boys Hostel,Male,Yes,2 Sharing,No,1.6,17.00463473,81.79492028,5500
East Godavari,Rajahmundry,Tilak Road," Opposite Sai Krishna Theatre, Beside Aluminium Function Hall, Innes Peta, Rajahmundry.",Jyothi Boys Hostel,Male,Yes,3 Sharing,No,1.6,17.00463473,81.79492028,6000
East Godavari,Rajahmundry,Tilak Road," Opposite Sai Krishna Theatre, Beside Aluminium Function Hall, Innes Peta, Rajahmundry.",Jyothi Boys Hostel,Male,Yes,single,No,1.6,17.00463473,81.79492028,7000
East Godavari,Rajahmundry,Tilak Road," Opposite Sai Krishna Theatre, Beside Aluminium Function Hall, Innes Peta, Rajahmundry.",Jyothi Boys Hostel,Male,Yes,4 Sharing,No,1.6,17.00463473,81.79492028,6000
East Godavari,Rajahmundry,Tilak Road," Opposite Sai Krishna Theatre, Beside Aluminium Function Hall, Innes Peta, Rajahmundry.",Jyothi Boys Hostel,Male,No,3 Sharing,No,1.6,17.00463473,81.79492028,5000
East Godavari,Rajahmundry,Tilak Road," Opposite Sai Krishna Theatre, Beside Aluminium Function Hall, Innes Peta, Rajahmundry.",Jyothi Boys Hostel,Male,No,4 Sharing,No,1.6,17.00463473,81.79492028,4500
East Godavari,Rajahmundry,Tilak Road,"Door No: 79-2-9/4, Bedide SBI Bank, Opposite Sri Ravi Hospital Road, Tilak Road, Gandhipuram, Rajahmundry-533103, Andhra Pradesh",Sweety Ladies Hostel,Female,Yes,4 Sharing,No,1.6,17.00463473,81.79492028,6500
East Godavari,Rajahmundry,Tilak Road,"Door No: 79-2-9/4, Bedide SBI Bank, Opposite Sri Ravi Hospital Road, Tilak Road, Gandhipuram, Rajahmundry-533103, Andhra Pradesh",Sweety Ladies Hostel,Female,No ,3 Sharing,No,1.6,17.00463473,81.79492028,5000
East Godavari,Rajahmundry,Tilak Road,"Door No: 79-2-9/4, Bedide SBI Bank, Opposite Sri Ravi Hospital Road, Tilak Road, Gandhipuram, Rajahmundry-533103, Andhra Pradesh",Sweety Ladies Hostel,Female,Yes,2 Sharing,Yes,1.6,17.00463473,81.79492028,9500
East Godavari,Rajahmundry,Tilak Road,"Door No: 79-2-9/4, Bedide SBI Bank, Opposite Sri Ravi Hospital Road, Tilak Road, Gandhipuram, Rajahmundry-533103, Andhra Pradesh",Sweety Ladies Hostel,Female,Yes,3 Sharing,No,1.6,17.00463473,81.79492028,7000
East Godavari,Rajahmundry,Tilak Road,"Door No: 79-2-9/4, Bedide SBI Bank, Opposite Sri Ravi Hospital Road, Tilak Road, Gandhipuram, Rajahmundry-533103, Andhra Pradesh",Sweety Ladies Hostel,Female,Yes,Single,No,1.6,17.00463473,81.79492028,10000
East Godavari,Rajahmundry,Tilak Road,"Door No: 79-2-9/4, Bedide SBI Bank, Opposite Sri Ravi Hospital Road, Tilak Road, Gandhipuram, Rajahmundry-533103, Andhra Pradesh",Sweety Ladies Hostel,Female,No,4 Sharing,No,1.6,17.00463473,81.79492028,4000
East Godavari,Rajahmundry,Aryapuram,"Near Seshayya Metta, Godavari Bund Road",RK Ladies Hostel,Female,Yes,3 Sharing,No,5,17.01505904,81.77187975,5500
East Godavari,Rajahmundry,Aryapuram,"Near Seshayya Metta, Godavari Bund Road",RK Ladies Hostel,Female,Yes,4 Sharing,No,5,17.01505904,81.77187975,5500
East Godavari,Rajahmundry,Aryapuram,"Near Seshayya Metta, Godavari Bund Road",RK Ladies Hostel,Female,Yes,2 Sharing,No,5,17.01505904,81.77187975,5000
East Godavari,Rajahmundry,Aryapuram,"Near Seshayya Metta, Godavari Bund Road",RK Ladies Hostel,Female,Yes,Single,No,5,17.01505904,81.77187975,7000
East Godavari,Rajahmundry,Aryapuram,"Near Akira Eye Hospital, Aryapuram",NSS Boys Hostel,Male,Yes,Single,No,5,17.01505904,81.77187975,8000
East Godavari,Rajahmundry,Aryapuram,"Near Akira Eye Hospital, Aryapuram",NSS Boys Hostel,Male,Yes,4 sharing,No,5,17.01505904,81.77187975,5000
East Godavari,Rajahmundry,Aryapuram,"Near Akira Eye Hospital, Aryapuram",NSS Boys Hostel,Male,Yes,2 sharing,Yes,5,17.01505904,81.77187975,9400
East Godavari,Rajahmundry,RTC Complex,Josritha Womens Hostel,AV Apparao Road,Female,Yes,2 Sharing,No,2,16.99282758,81.80716152,7000
East Godavari,Rajahmundry,RTC Complex,Josritha Womens Hostel,AV Apparao Road,Female,Yes,Single,No,2,16.99282758,81.80716152,7500
East Godavari,Rajahmundry,RTC Complex,Josritha Womens Hostel,AV Apparao Road,Female,Yes ,4 sharing,No,2,16.99282758,81.80716152,6500
